group_id,group_name,group_memo,group_create_time,member_count,max_member_count,remark_name,group_id,user_id,nickname,card,sex,age,area,level,qq_level,join_time,last_sent_time,title_expire_time,unfriendly,card_changeable,is_robot,shut_up_timestamp,role,title,friend,is_marked
113893015,雀⑨城,,1674404138,63,200,,113893015,178878631,瑞克-瑞文[Ⅵ],文文形态多云,unknown,0,,1,0,1711603988,1735870620,0,False,True,False,0,member,aya,TRUE,FALSE
161362456,少女终末旅行,,1511884345,372,500,,161362456,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,1,0,1587302012,1730651696,0,False,True,False,0,member,,TRUE,FALSE
174113785,尤莉战后维护研究所,,1519021799,283,500,,174113785,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,100,0,1588444549,1736489617,0,False,True,False,1657454698,admin,文,TRUE,FALSE
415948551,脸扁奇妙の小群,,1666787733,100,200,,415948551,178878631,瑞克-瑞文[Ⅵ],文文形态多云,unknown,0,,1,0,1709912248,1736542339,0,False,True,False,0,member,啊文,TRUE,FALSE
457057264,少女终末旅行吧群,,1507334025,341,2000,,457057264,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,2,0,1621269455,1713988972,0,False,True,False,0,member,,TRUE,FALSE
535949049,千户战后维护研究所,,1526448028,64,200,,535949049,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,2,0,1585905829,1722679308,0,False,True,False,0,member,,TRUE,FALSE
549469813,多云港,,1705908209,68,200,,549469813,178878631,瑞克-瑞文[Ⅵ],文文形态多云,unknown,0,,94,0,1711794747,1736496810,0,False,True,False,0,admin,锐刻六代,TRUE,FALSE
553098907,少终哲学社_Phihub,,1668139973,79,500,,553098907,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,1,0,1735118736,1735119460,0,False,True,False,0,member,,TRUE,FALSE
649039513,少女終末旅行閑聊群,,1686100480,500,500,,649039513,178878631,瑞克-瑞文[Ⅵ],文文形态多云,unknown,0,,100,0,1705969754,1736551670,0,False,True,False,0,admin,文,TRUE,FALSE
676092890,<$??>少女终末旅行?<$??>,,1511880620,76,200,,676092890,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,2,0,1585904906,1719364737,0,False,True,False,0,member,终末,TRUE,FALSE
681691883,少女終末旅行閒聊群（二群）,,1719573075,36,200,,681691883,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,1,0,1719573075,1722454203,0,False,True,False,0,member,,TRUE,FALSE
683885461,??海东甜点品鉴会??,,1668946178,152,200,,683885461,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,1,0,1717165749,1717201574,0,False,True,False,0,member,,TRUE,FALSE
750903149,闲聊群备用群,,1686134324,81,200,,750903149,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,1,0,1713613465,1713613465,0,False,True,False,0,member,,TRUE,FALSE
829010981,少女终末旅行同好群,,1632030779,162,500,,829010981,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,1,0,1709912246,1735635679,0,False,True,False,0,member,,TRUE,FALSE
885435615,少女终末旅行周边群,,1691657639,688,2000,,885435615,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,1,0,1735118720,1736118330,0,False,True,False,0,member,,TRUE,FALSE
934319295,学习资料交流群（第六共和国）,,1711637760,94,200,,934319295,178878631,瑞克-瑞文[Ⅵ],文文形态多云,unknown,0,,82,0,1711672711,1736543153,0,False,True,False,0,admin,文文,TRUE,FALSE
935065119,终末军事爱好者交流群,,1696512629,85,200,,935065119,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,1,0,1735121084,1735121129,0,False,True,False,0,member,,TRUE,FALSE
945477199,老年人养老院,,1710771622,25,200,,945477199,178878631,瑞克-瑞文[Ⅵ],AI-Generated Content,unknown,0,,1,0,1733495151,1736439064,0,False,True,False,0,member,文星朵云,TRUE,FALSE
982655391,神明大人の小卦馆,,1726650366,29,200,,982655391,178878631,瑞克-瑞文[Ⅵ],文文形态多云,unknown,0,,37,0,1730615701,1736493446,0,False,True,False,0,member,鹤顶红品鉴官,TRUE,FALSE
994103958,宇宙无敌魔王军,,1721382687,144,200,,994103958,178878631,瑞克-瑞文[Ⅵ],瑞克-瑞文[Ⅵ],unknown,0,,1,0,1734802214,1735884394,0,False,True,False,0,member,,TRUE,FALSE
161362456,少女终末旅行,,1511884345,372,500,,161362456,2854196310,Q群管家,Q群管家,unknown,0,,1,0,1670077122,1670077131,0,False,True,True,0,member,,FALSE,FALSE
415948551,脸扁奇妙の小群,,1666787733,100,200,,415948551,2854196310,Q群管家,Q群管家,unknown,0,,1,0,1666791818,1735710103,0,False,True,True,0,member,,FALSE,FALSE
553098907,少终哲学社_Phihub,,1668139973,79,500,,553098907,2854196310,Q群管家,Q群管家,unknown,0,,1,0,1687506907,1736169075,0,False,True,True,0,member,,FALSE,FALSE
829010981,少女终末旅行同好群,,1632030779,162,500,,829010981,2854196310,Q群管家,Q群管家,unknown,0,,1,0,1670209279,1692165394,0,False,True,True,0,member,,FALSE,FALSE
885435615,少女终末旅行周边群,,1691657639,688,2000,,885435615,2854196310,Q群管家,Q群管家,unknown,0,,1,0,1691658511,1736518383,0,False,True,True,0,member,,FALSE,FALSE
994103958,宇宙无敌魔王军,,1721382687,144,200,,994103958,2854196310,Q群管家,Q群管家,unknown,0,,1,0,1721485395,1736489888,0,False,True,True,0,member,,FALSE,FALSE
457057264,少女终末旅行吧群,,1507334025,341,2000,,457057264,424931281,雾岛岚????????,雾岛岚????????,unknown,0,,1,0,1596866787,1703332141,0,False,True,False,0,member,,FALSE,FALSE
829010981,少女终末旅行同好群,,1632030779,162,500,,829010981,424931281,雾岛岚????????,雾岛岚????????,unknown,0,,1,0,1636703302,1703332255,0,False,True,False,0,member,雾岛,FALSE,FALSE
113893015,雀⑨城,,1674404138,63,200,,113893015,653993225,枫香镜花,镜花,unknown,0,,1,0,1674404138,1736516902,0,False,True,False,0,owner,沙皇,FALSE,FALSE
415948551,脸扁奇妙の小群,,1666787733,100,200,,415948551,653993225,枫香镜花,枫香镜花,unknown,0,,1,0,1674321947,1736487922,0,False,True,False,0,member,⑩,FALSE,FALSE
113893015,雀⑨城,,1674404138,63,200,,113893015,3981611741,(???),菜米,unknown,0,,26,0,1733126422,1736516909,0,False,True,False,0,admin,聪明的,FALSE,FALSE
415948551,脸扁奇妙の小群,,1666787733,100,200,,415948551,3981611741,(???),(???),unknown,0,,1,0,1725212121,1736174380,0,False,True,False,0,member,,FALSE,FALSE
649039513,少女終末旅行閑聊群,,1686100480,500,500,,649039513,3981611741,(???),(???),unknown,0,,1,0,1724063812,1735173108,0,False,True,False,0,member,,FALSE,FALSE
113893015,雀⑨城,,1674404138,63,200,,113893015,3308338816,UNI,筱崎,unknown,0,,1,0,1712497139,1736520903,0,False,True,False,0,admin,mda,FALSE,FALSE
174113785,尤莉战后维护研究所,,1519021799,283,500,,174113785,3308338816,UNI,啾啾,unknown,0,,1,0,1665845208,1721841852,0,False,True,False,0,member,,FALSE,FALSE
457057264,少女终末旅行吧群,,1507334025,341,2000,,457057264,3308338816,UNI,UNI,unknown,0,,1,0,1667662560,1686417180,0,False,True,False,0,member,,FALSE,FALSE
649039513,少女終末旅行閑聊群,,1686100480,500,500,,649039513,3308338816,UNI,mutantheart,unknown,0,,1,0,1686101917,1735919725,0,False,True,False,0,member,蔬菜专辑,FALSE,FALSE
113893015,雀⑨城,,1674404138,63,200,,113893015,2128087971,卡秋鲨,卡秋鲨,unknown,0,,1,0,1711612277,1735661036,0,False,True,False,0,member,小鲨,FALSE,FALSE
415948551,脸扁奇妙の小群,,1666787733,100,200,,415948551,2128087971,卡秋鲨,脸扁鲨,unknown,0,,1,0,1668935527,1732875676,0,False,True,False,0,member,,FALSE,FALSE
649039513,少女終末旅行閑聊群,,1686100480,500,500,,649039513,2128087971,卡秋鲨,卡秋鲨,unknown,0,,1,0,1686108155,1735660835,0,False,True,False,0,member,小鲨酱,FALSE,FALSE
885435615,少女终末旅行周边群,,1691657639,688,2000,,885435615,2128087971,卡秋鲨,卡秋鲨,unknown,0,,1,0,1691664069,1726587316,0,False,True,False,0,member,,FALSE,FALSE
113893015,雀⑨城,,1674404138,63,200,,113893015,3089427988,蜀维埃,蜀维埃,unknown,0,,1,0,1716040494,1736010365,0,False,True,False,0,member,,TRUE,FALSE
161362456,少女终末旅行,,1511884345,372,500,,161362456,3089427988,蜀维埃,蜀维埃,unknown,0,,1,0,1626646112,1724500658,0,False,True,False,0,member,,TRUE,FALSE
174113785,尤莉战后维护研究所,,1519021799,283,500,,174113785,3089427988,蜀维埃,蜀维埃,unknown,0,,1,0,1661651541,1732206213,0,False,True,False,0,member,,TRUE,FALSE
415948551,脸扁奇妙の小群,,1666787733,100,200,,415948551,3089427988,蜀维埃,蜀维埃,unknown,0,,1,0,1715262911,1735785777,0,False,True,False,1720445262,member,牢蜀,TRUE,FALSE
457057264,少女终末旅行吧群,,1507334025,341,2000,,457057264,3089427988,蜀维埃,蜀维埃,unknown,0,,1,0,1686414807,1713962876,0,False,True,False,0,member,,TRUE,FALSE
