文件名称,截图时间,设备型号,用户
Screenshot_2014-07-08-15-42-39.png,2014-07-08 15:42:03,Mi 2S,老妈
Screenshot_2014-12-05-20-51-30.png,2014-12-05 20:51:03,Mi 2S,老妈
Screenshot_2014-12-24-19-03-05.jpg,2014-12-24 19:03:00,Mi 2S,老妈
Screenshot_2014-12-24-19-03-05.png,2014-12-24 19:03:00,Mi 2S,老妈
Screenshot_2014-12-24-19-03-36.png,2014-12-24 19:03:03,Mi 2S,老妈
Screenshot_2014-12-25-19-39-09.jpg,2014-12-25 19:39:00,Mi 2S,老妈
Screenshot_2019-05-11-20-47-40-456_com.videogo.png,2019-05-11 20:47:04,Mi 5X,老妈
Screenshot_2020-05-24-11-27-16-161_com.mxtech.videoplayer.ad.jpg,2020-05-24 11:27:01,Mi MIX 3,自己
Screenshot_2020-06-21-12-21-19-128_tv.acfundanmaku.video.jpg,2020-06-21 12:21:01,Mi MIX 3,自己
Screenshot_2020-07-18-13-15-15-438_com.qiyi.video.jpg,2020-07-18 13:15:01,Mi 6X,老妈
Screenshot_2020-09-16-17-25-53-151_com.tencent.mobileqq.png,2020-09-16 17:25:05,Mi 6X,老妈
Screenshot_2020-10-09-17-49-02-667_com.ss.android.ugc.aweme.jpg,2020-10-09 17:49:00,Mi 6X,老妈
Screenshot_2020-10-09-17-49-12-515_com.ss.android.ugc.aweme.jpg,2020-10-09 17:49:01,Mi 6X,老妈
Screenshot_2020-11-22-21-10-56-419_com.android.settings.jpg,2020-11-22 21:10:05,Redmi K30 Pro,自己
Screenshot_2020-11-22-21-10-54-961_com.android.settings.jpg,2020-11-22 21:10:05,Redmi K30 Pro,自己
Screenshot_2020-11-22-23-25-14-682_tv.danmaku.bili.jpg,2020-11-22 23:25:01,Redmi K30 Pro,自己
Screenshot_2020-11-23-20-52-39-798_com.netease.cloudmusic.jpg,2020-11-23 20:52:03,Redmi K30 Pro,自己
Screenshot_2020-12-11-11-45-00-031_com.android.browser.jpg,2020-12-11 11:45:00,Mi 6X,老妈
Screenshot_2020-12-11-12-29-17-755_com.tencent.mm.jpg,2020-12-11 12:29:01,Mi 6X,老妈
Screenshot_2021-02-25-09-10-05-638_com.tencent.mm.jpg,2021-02-25 09:10:00,Redmi Note 9 Pro 5G,老妈
Screenshot_2021-03-09-17-35-14-354_com.tencent.mobileqq.jpg,2021-03-09 17:35:01,Redmi Note 9 Pro 5G,老妈
Screenshot_2021-03-11-16-19-10-945_com.tencent.mm.jpg,2021-03-11 16:19:01,Redmi Note 9 Pro 5G,老妈
Screenshot_2021-03-11-16-22-33-564_com.tencent.mm.jpg,2021-03-11 16:22:03,Redmi Note 9 Pro 5G,老妈
Screenshot_2021-03-11-16-22-41-046_com.tencent.mm.jpg,2021-03-11 16:22:04,Redmi Note 9 Pro 5G,老妈
Screenshot_2021-03-13-10-47-25-684_com.ss.android.ugc.aweme.jpg,2021-03-13 10:47:02,Redmi Note 9 Pro 5G,老妈
Screenshot_2021-03-13-21-24-31.png,2021-03-13 21:24:03,Redmi Note 9 Pro 5G,老妈
Screenshot_2021-03-28-22-57-25-795_com.PigeonGames.Phigros.jpg,2021-03-28 22:57:02,Redmi K30 Pro,自己
Screenshot_2021-03-28-23-29-23-647_com.google.android.youtube.jpg,2021-03-28 23:29:02,Redmi K30 Pro,自己
Screenshot_2021-03-29-00-23-39-316_com.miui.securitycenter.jpg,2021-03-29 00:23:03,Redmi K30 Pro,自己
Screenshot_2021-04-01-00-45-21-271_com.PigeonGames.Phigros.jpg,2021-04-01 00:45:02,Redmi K30 Pro,自己
Screenshot_2021-04-01-06-57-44-072_com.PigeonGames.Phigros.jpg,2021-04-01 06:57:04,Redmi K30 Pro,自己
Screenshot_2021-04-01-07-23-07-011_com.PigeonGames.Phigros.jpg,2021-04-01 07:23:00,Redmi K30 Pro,自己
Screenshot_2021-04-01-09-41-10-038_com.microsoft.office.powerpoint.jpg,2021-04-01 09:41:01,Redmi K30 Pro,自己
Screenshot_2021-04-01-10-45-00-490_com.PigeonGames.Phigros.jpg,2021-04-01 10:45:00,Redmi K30 Pro,自己
Screenshot_2021-04-01-12-35-32-740_com.PigeonGames.Phigros.jpg,2021-04-01 12:35:03,Redmi K30 Pro,自己
Screenshot_2021-04-01-17-18-57-430_com.miui.home.jpg,2021-04-01 17:18:05,Redmi K30 Pro,自己
Screenshot_2021-04-01-19-48-30-900_com.PigeonGames.Phigros.jpg,2021-04-01 19:48:03,Redmi K30 Pro,自己
Screenshot_2021-04-01-20-04-00-424_bin.mt.plus.jpg,2021-04-01 20:04:00,Redmi K30 Pro,自己
Screenshot_2021-04-01-20-09-36-199_com.tencent.mobileqq.jpg,2021-04-01 20:09:03,Redmi K30 Pro,自己
Screenshot_2021-04-01-22-06-11-024_com.PigeonGames.Phigros.jpg,2021-04-01 22:06:01,Redmi K30 Pro,自己
Screenshot_2021-04-01-22-10-23-735_com.PigeonGames.Phigros.jpg,2021-04-01 22:10:02,Redmi K30 Pro,自己
Screenshot_2021-04-01-22-12-59-717_com.PigeonGames.Phigros.jpg,2021-04-01 22:12:05,Redmi K30 Pro,自己
Screenshot_2021-04-04-18-50-19-917_tv.danmaku.bili.jpg,2021-04-04 18:50:01,Redmi K30 Pro,自己
Screenshot_2021-04-04-22-02-17-835_me.mugzone.malody.jpg,2021-04-04 22:02:01,Redmi K30 Pro,自己
Screenshot_2021-04-04-22-52-37-211_com.tencent.mobileqq.jpg,2021-04-04 22:52:03,Redmi K30 Pro,自己
Screenshot_2021-04-04-23-11-53-854_com.PigeonGames.Phigros.jpg,2021-04-04 23:11:05,Redmi K30 Pro,自己
Screenshot_2021-04-04-23-15-10-874_com.PigeonGames.Phigros.jpg,2021-04-04 23:15:01,Redmi K30 Pro,自己
Screenshot_2021-04-05-01-58-27-997_com.xiaomi.misettings.jpg,2021-04-05 01:58:02,Redmi K30 Pro,自己
Screenshot_2021-04-05-16-00-01-856_com.PigeonGames.Phigros.jpg,2021-04-05 16:00:00,Redmi K30 Pro,自己
Screenshot_2021-04-05-16-16-58-819_com.PigeonGames.Phigros.jpg,2021-04-05 16:16:05,Redmi K30 Pro,自己
Screenshot_2021-04-05-18-13-22-524_com.PigeonGames.Phigros.jpg,2021-04-05 18:13:02,Redmi K30 Pro,自己
Screenshot_2021-04-06-00-30-12-995_tv.danmaku.bili.jpg,2021-04-06 00:30:01,Redmi K30 Pro,自己
Screenshot_2021-04-06-00-30-46-134_tv.danmaku.bili.jpg,2021-04-06 00:30:04,Redmi K30 Pro,自己
Screenshot_2021-04-06-00-35-30-011_com.tencent.mobileqq.jpg,2021-04-06 00:35:03,Redmi K30 Pro,自己
Screenshot_2021-04-06-19-43-04-065_com.android.thememanager.jpg,2021-04-06 19:43:00,Redmi K30 Pro,自己
Screenshot_2021-04-06-20-15-47-712_com.PigeonGames.Phigros.jpg,2021-04-06 20:15:04,Redmi K30 Pro,自己
Screenshot_2021-04-06-20-26-31-975_com.PigeonGames.Phigros.jpg,2021-04-06 20:26:03,Redmi K30 Pro,自己
Screenshot_2021-04-06-20-33-56-319_com.PigeonGames.Phigros.jpg,2021-04-06 20:33:05,Redmi K30 Pro,自己
Screenshot_2021-04-06-20-47-32-760_com.PigeonGames.Phigros.jpg,2021-04-06 20:47:03,Redmi K30 Pro,自己
Screenshot_2021-04-06-20-58-53-472_com.PigeonGames.Phigros.jpg,2021-04-06 20:58:05,Redmi K30 Pro,自己
Screenshot_2021-04-06-21-32-28-063_com.PigeonGames.Phigros.jpg,2021-04-06 21:32:02,Redmi K30 Pro,自己
Screenshot_2021-04-06-21-36-41-267_com.PigeonGames.Phigros.jpg,2021-04-06 21:36:04,Redmi K30 Pro,自己
Screenshot_2021-04-09-18-20-43-741_com.google.android.youtube.jpg,2021-04-09 18:20:04,Redmi K30 Pro,自己
Screenshot_2021-04-09-18-22-26-560_com.google.android.youtube.jpg,2021-04-09 18:22:02,Redmi K30 Pro,自己
Screenshot_2021-04-09-18-22-44-611_com.google.android.youtube.jpg,2021-04-09 18:22:04,Redmi K30 Pro,自己
Screenshot_2021-04-10-08-24-37-389_cn.com.pconline.android.browser.jpg,2021-04-10 08:24:03,Redmi K30 Pro,自己
Screenshot_2021-04-10-08-26-02-158_cn.com.pconline.android.browser.jpg,2021-04-10 08:26:00,Redmi K30 Pro,自己
Screenshot_2021-04-10-08-26-31-900_cn.com.pconline.android.browser.jpg,2021-04-10 08:26:03,Redmi K30 Pro,自己
Screenshot_2021-04-10-08-26-54-076_cn.com.pconline.android.browser.jpg,2021-04-10 08:26:05,Redmi K30 Pro,自己
Screenshot_2021-04-10-10-33-58-752_com.PigeonGames.Phigros.jpg,2021-04-10 10:33:05,Redmi K30 Pro,自己
Screenshot_2021-04-10-20-52-20-672_tv.danmaku.bili.jpg,2021-04-10 20:52:02,Redmi K30 Pro,自己
Screenshot_2021-04-10-22-53-38-142_com.xiaomi.misettings.jpg,2021-04-10 22:53:03,Redmi K30 Pro,自己
Screenshot_2021-04-10-22-53-41-352_com.xiaomi.misettings.jpg,2021-04-10 22:53:04,Redmi K30 Pro,自己
Screenshot_2021-04-11-03-06-15-352_com.PigeonGames.Phigros.jpg,2021-04-11 03:06:01,Redmi K30 Pro,自己
